CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
344,Fed,lignan,Medioresinol,n/a,"4-[(3S,3aR,6S,6aR)-3-(4-hydroxy-3-methoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2,6-dimethoxyphenol","4-[(3S,3aR,6S,6aR)-3-(4-hydroxy-3-methoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2,6-dimethoxyphenol", VJOBNGRIBLNUKN-BMHXQBNDSA-N, VJOBNGRIBLNUKN-BMHXQBNDSA-N,388.152203,C21H24O7,C21H24O7,388.4,388.4,40957-99-1,40957-99-1,Commercial,N/A,N/A,181681,181681,CP03
123,metabolite,benzoic acid,2-hydroxy-6-methoxybenzoic acid   ,6-Methoxysalicylic Acid,2-hydroxy-6-methoxybenzoic acid,2-hydroxy-6-methoxybenzoic acid,AAUQLHHARJUJEH-UHFFFAOYSA-N  ,AAUQLHHARJUJEH-UHFFFAOYSA-N  ,168.042259,C8H8O4,C8H8O4,168.148,168.148,3147-64-6,3147-64-6,commercial,N/A,N/A,591524,591524,CP1
429,metabolite,quinic acid,(-)-quinic acid,Chinic acid,"(3R,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid","(3R,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid",AAWZDTNXLSGCEK-LNVDRNJUSA-N,AAWZDTNXLSGCEK-LNVDRNJUSA-N,192.063388,C7H12O6,C7H12O6,192.17,192.17,77-95-2,77-95-2,commercial,HMDB0003072,HMDB0003072,6508,6508,CP1
309,Metabolite,coumarin metbolites,o-hydroxyphenylethanol (o-HPE); 2-(2-hydroxyethyl)phenol,2-hydroxyphenylethanol; 2-Hydroxyphenethyl alcohol,2-(2-hydroxyethyl)phenol,2-(2-hydroxyethyl)phenol,ABFCOJLLBHXNOU-UHFFFAOYSA-N,ABFCOJLLBHXNOU-UHFFFAOYSA-N,138.06808,C8H10O2,C8H10O2,138.16,138.16,7768-28-7,7768-28-7,Commercial,N/A,N/A,82200,82200,CP03
63,Daidzein Metabolite,Daidzein Metabolite,equol,(-)-Equol,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol","(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-7-ol",ADFCQWZHKCXPAJ-GFCCVEGCSA-N,ADFCQWZHKCXPAJ-GFCCVEGCSA-N,242.094294,C15H14O3,C15H14O3,242.27,242.27,531-95-3,531-95-3,Not Established,HMDB0002209,HMDB0002209,91469,91469,CP2
181,Metabolite,Kaempferol metabolites,Kaempferol 5-glucuronide,n/a,"(3S,4S,6S)-6-[3,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-5-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid","(3S,4S,6S)-6-[3,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-5-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",AESGYRCGOWUBNU-RMMKNTHPSA-N,AESGYRCGOWUBNU-RMMKNTHPSA-N,462.079826,C21H18O12,C21H18O12,462.4,462.4,No CAS,No CAS,Commercial,N/A,N/A,44258975,44258975,CP03
247,metabolite,cinnamic acid,4-methoxycinnamic acid   ,p-methoxycinnamic acid; 3-(4-Methoxyphenyl)-2-propenoic acid; 3-(4-Methoxyphenyl)acrylic acid,(E)-3-(4-methoxyphenyl)prop-2-enoic acid,(E)-3-(4-methoxyphenyl)prop-2-enoic acid,AFDXODALSZRGIH-UHFFFAOYSA-N,AFDXODALSZRGIH-UHFFFAOYSA-N,178.0629942,C10H10O3,C10H10O3,178.19,178.19,830-09-1 or 943-89-5,830-09-1 or 943-89-5,commercial,HMDB0002040,HMDB0002040,699414,699414,CP1
19,metabolite,anthocyanin,petunidin chloride,Petunidin   ,"2-(3,4-dihydroxy-5-methoxyphenyl)chromenylium-3,5,7-triol;chloride","2-(3,4-dihydroxy-5-methoxyphenyl)chromenylium-3,5,7-triol",QULMBDNPZCFSPR-UHFFFAOYSA-N,AFOLOMGWVXKIQL-UHFFFAOYSA-O,317.066128 ,C16H13ClO7,C16H13O7+,352.723,317.27,1429-30-7,NA,commercial,HMDB0003173,HMDB0003173,73386,NA,CP1
191,Metabolite,Avenanthramide metabolites,"4,5-dihydroxyanthranilic acid","2-amino-3,4-dihydroxybenzoic acid","2-amino-3,4-dihydroxybenzoic acid","2-amino-3,4-dihydroxybenzoic acid",AFRFLYQMXWCXCH-UHFFFAOYSA-N,AFRFLYQMXWCXCH-UHFFFAOYSA-N,169.037508 ,C7H7NO4,C7H7NO4,169.13,169.13,NO CAS,NO CAS,data not pulled from DB,N/A,N/A,437033,437033,CP05
85,Enterodiol Metabolite,Enterodiol Metabolite,Enterodiol glucuronide,N/A,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-{3-[(2R,3R)-4-hydroxy-2-(hydroxymethyl)-3-[(3-hydroxyphenyl)methyl]butyl]phenoxy}oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-{3-[(2R,3R)-4-hydroxy-2-(hydroxymethyl)-3-[(3-hydroxyphenyl)methyl]butyl]phenoxy}oxane-2-carboxylic acid",AHSOMLRDSRNEEA-NXZKRJRCSA-N,AHSOMLRDSRNEEA-NXZKRJRCSA-N,478.1838972,C24H30O10,C24H30O10,478.494,478.494,No CAS,No CAS,Not Established,HMDB0240503,HMDB0240503,N/A,N/A,CP2
118,metabolite,benzoic acid,"2,6-dihydroxybenzoic acid",γ-Resorcylic Acid,"2,6-dihydroxybenzoic acid","2,6-dihydroxybenzoic acid",AKEUNCKRJATALU-UHFFFAOYSA-N,AKEUNCKRJATALU-UHFFFAOYSA-N,154.0266087,C7H6O4,C7H6O4,154.12,154.12,303-07-1,303-07-1,Commercial,HMDB0013676,HMDB0013676,9338,9338,CP1
