Name,NumMolecules,MassDifference,Charge,Chromatography
M+2H+Na,1,25.0038,3,LC_MSMS_POS
M+2N+H,1,46.9857,3,LC_MSMS_POS
M+2H,1,2.0146,2,LC_MSMS_POS
M+H+Na,1,23.9965,2,LC_MSMS_POS
M+2Na,1,45.9784,2,LC_MSMS_POS
M+H-2H2O,1,-35.0139,1,LC_MSMS_POS
M+H-H2O,1,-17.0033,1,LC_MSMS_POS
M+H-NH3,1,-16.0187,1,LC_MSMS_POS
M+e,1,0.0005,1,LC_MSMS_POS
M+H,1,1.0073,1,LC_MSMS_POS
2M+3H2O+2H,2,28.0231,2,LC_MSMS_POS
M+NH4,1,18.0338,1,LC_MSMS_POS
M+Na,1,22.9892,1,LC_MSMS_POS
M+CH3OH+H,1,33.0335,1,LC_MSMS_POS
M+K,1,38.9632,1,LC_MSMS_POS
M+ACN+H,1,42.0338,1,LC_MSMS_POS
M+2Na-H,1,44.9712,1,LC_MSMS_POS
2M+H,2,1.0073,1,LC_MSMS_POS
2M+NH4,2,18.0338,1,LC_MSMS_POS
2M+Na,2,22.9892,1,LC_MSMS_POS
